Team 2: Rachelle Burgos, Bahi Berk Gulay										
										
Attributes	Domain	Type	Domain Example	DB Name	Is it atomic?	Is it part of a repeating group?	Group ID	Table/Entity	Primary Key	Foreign Key
ITEM_ID	Unique identifiers	CHAR(36)	749	ITEM_ID	TRUE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	TRUE	FALSE
ITINERARY_ID	References to ITINERARY_ID in the Itinerary table	CHAR(36)	167	ITINERARY_ID	TRUE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	FALSE	TRUE
ACTIVITY_ID	References to ACTIVITY_ID in the activity table	CHAR(36)	910	ACTIVITY_ID	TRUE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	FALSE	TRUE
TIME_PLANNED	Times	time	16:00:00	TIME_PLANNED	TRUE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	FALSE	FALSE
DATE_PLANNED	Dates	date	1/1/2023	DATE_PLANNED	TRUE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	FALSE	FALSE
DATE_ADDED	Datetimes	datetime	1/1/2023 16:00:00	DATE_ADDED	TRUE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	FALSE	FALSE
DATE_MODIFIED	Datetimes	datetime	1/1/2023 16:00:00	DATE_MODIFIED	TRUE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	FALSE	FALSE
STATUS	Enum type (VISITED, NOT_VISITED, CANCELLED, POSTPONED)	enum	Completed	STATUS	FALSE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	FALSE	FALSE
NOTES	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	NOTES	TRUE	FALSE	ACTIV_ITINER_ITEM	ACTIV_ITINER_ITEM	FALSE	FALSE
Event Itinerary Item										
ITEM_ID	Unique identifiers	CHAR(36)	451	ITEM_ID	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	TRUE	FALSE
ITINERARY_ID	References to ITINERARY_ID in the Itinerary table	CHAR(36)	784	ITINERARY_ID	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	FALSE	TRUE
EVENT_ID	References to EVENT_ID in the Event table	CHAR(36)	611	EVENT_ID	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	FALSE	TRUE
TIME_PLANNED	Times	time	16:00:00	TIME_PLANNED	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	FALSE	FALSE
DATE_PLANNED	Dates	date	1/1/2023	DATE_PLANNED	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	FALSE	FALSE
DATE_ADDED	Datetimes	datetime	1/1/2023 16:00:00	DATE_ADDED	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	FALSE	FALSE
DATE_MODIFIED	Datetimes	datetime	1/1/2023 16:00:00	DATE_MODIFIED	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	FALSE	FALSE
STATUS	Enum type (VISITED, NOT_VISITED, CANCELLED, POSTPONED)	enum	Completed	STATUS	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	FALSE	FALSE
NOTES	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	NOTES	TRUE	FALSE	EVENT_ITINER_ITEM	EVENT_ITINER_ITEM	FALSE	FALSE
Shared Itineraries										
SHARED_ITINERARY_ID	Unique identifiers	CHAR(36)	547	SHARED_ITINERARY_ID	TRUE	FALSE	SHARED_ITINER	SHARED_ITINER	TRUE	FALSE
ITINERARY_ID	References to ITINERARY_ID in the Itinerary table	CHAR(36)	216	ITINERARY_ID	TRUE	FALSE	SHARED_ITINER	SHARED_ITINER	FALSE	TRUE
SHARED_WITH_USER_ID	References to USER_ID in the User table	CHAR(36)	271	SHARED_WITH_USER_ID	TRUE	FALSE	SHARED_ITINER	SHARED_ITINER	FALSE	TRUE
SHARED_ON_DATETIME	Datetimes	datetime	1/1/2023 16:00:00	SHARED_ON_DATETIME	TRUE	FALSE	SHARED_ITINER	SHARED_ITINER	FALSE	FALSE
ACCESS_LEVEL	Enum type (READ_ONLY, READ_AND_WRITE)	enum	READ_ONLY	ACCESS_LEVEL	TRUE	FALSE	SHARED_ITINER	SHARED_ITINER	FALSE	FALSE
Bucket List										
BUCKET_LIST_ID	Unique identifiers	CHAR(36)	840	BUCKET_LIST_ID	TRUE	FALSE	BUCKET_LIST	BUCKET_LIST	TRUE	FALSE
USER_ID	References to USER_ID in the User table	CHAR(36)	859	USER_ID	TRUE	FALSE	BUCKET_LIST	BUCKET_LIST	FALSE	TRUE
DATE_MODIFIED	Datetimes	datetime	1/1/2023 16:00:00	DATE_MODIFIED	TRUE	FALSE	BUCKET_LIST	BUCKET_LIST	FALSE	FALSE
Activity Bucket List Item										
BUCKET_LIST_ITEM_ID	Unique identifiers	CHAR(36)	722	BUCKET_LIST_ITEM_ID	TRUE	FALSE	ACTIV_BUCKET_LIST_ITEM	ACTIV_BUCKET_LIST_ITEM	TRUE	FALSE
BUCKET_LIST_ID	References to BUCKET_LIST_ID in BUCKET_LIST table	CHAR(36)	351	BUCKET_LIST_ID	TRUE	FALSE	ACTIV_BUCKET_LIST_ITEM	ACTIV_BUCKET_LIST_ITEM	FALSE	TRUE
ACTIVITY_ID	References to ACTIVITY_ID in the activity table	CHAR(36)	567	ACTIVITY_ID	TRUE	FALSE	ACTIV_BUCKET_LIST_ITEM	ACTIV_BUCKET_LIST_ITEM	FALSE	FALSE
DATE_ADDED	Datetimes	datetime	1/1/2023 16:00:00	DATE_ADDED	TRUE	FALSE	ACTIV_BUCKET_LIST_ITEM	ACTIV_BUCKET_LIST_ITEM	FALSE	FALSE
DATE_COMPLETED	Datetimes	datetime	1/1/2023 16:00:00	DATE_COMPLETED	TRUE	FALSE	ACTIV_BUCKET_LIST_ITEM	ACTIV_BUCKET_LIST_ITEM	FALSE	FALSE
PRIORITY	Enum type (HIGH, MED, LOW)	enum	HIGH	PRIORITY	TRUE	FALSE	ACTIV_BUCKET_LIST_ITEM	ACTIV_BUCKET_LIST_ITEM	FALSE	FALSE
STATUS	Enum type(ARCHIVED, VISITED,etc.)	enum	ARCHIVED	STATUS	TRUE	FALSE	ACTIV_BUCKET_LIST_ITEM	ACTIV_BUCKET_LIST_ITEM	FALSE	FALSE
NOTES	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	NOTES	TRUE	FALSE	ACTIV_BUCKET_LIST_ITEM	ACTIV_BUCKET_LIST_ITEM	FALSE	FALSE
Event Bucket List Item										
BUCKET_LIST_ITEM_ID	Unique identifiers	CHAR(36)	934	BUCKET_LIST_ITEM_ID	TRUE	FALSE	EVENT_BUCKET_LIST_ITEM	EVENT_BUCKET_LIST_ITEM	TRUE	FALSE
BUCKET_LIST_ID	References to BUCKET_LIST_ID in BUCKET_LIST table	CHAR(36)	475	BUCKET_LIST_ID	TRUE	FALSE	EVENT_BUCKET_LIST_ITEM	EVENT_BUCKET_LIST_ITEM	FALSE	TRUE
EVENT_ID	References to EVENT_ID in the Event table	CHAR(36)	624	EVENT_ID	TRUE	FALSE	EVENT_BUCKET_LIST_ITEM	EVENT_BUCKET_LIST_ITEM	FALSE	FALSE
DATE_ADDED	Datetimes	datetime	1/1/2023 16:00:00	DATE_ADDED	TRUE	FALSE	EVENT_BUCKET_LIST_ITEM	EVENT_BUCKET_LIST_ITEM	FALSE	FALSE
DATE_COMPLETED	Datetimes	datetime	1/1/2023 16:00:00	DATE_COMPLETED	TRUE	FALSE	EVENT_BUCKET_LIST_ITEM	EVENT_BUCKET_LIST_ITEM	FALSE	FALSE
PRIORITY	Enum type (HIGH, MED, LOW)	enum	HIGH	PRIORITY	TRUE	FALSE	EVENT_BUCKET_LIST_ITEM	EVENT_BUCKET_LIST_ITEM	FALSE	FALSE
STATUS	Enum type(ARCHIVED, VISITED,etc.)	enum	ARCHIVED	STATUS	TRUE	FALSE	EVENT_BUCKET_LIST_ITEM	EVENT_BUCKET_LIST_ITEM	FALSE	FALSE
NOTES	All character strings with a maximum length of 500 characters	varchar(500)	Lorem Ipsum	NOTES	TRUE	FALSE	EVENT_BUCKET_LIST_ITEM	EVENT_BUCKET_LIST_ITEM	FALSE	FALSE
Media										
MEDIA_ID	Unique identifiers	CHAR(36)	162	MEDIA_ID	TRUE	FALSE	MEDIA	MEDIA	TRUE	FALSE
MEDIA_TYPE	Enum type (IMG, VIDEO, etc.)	enum	IMG	MEDIA_TYPE	TRUE	FALSE	MEDIA	MEDIA	FALSE	FALSE
MEDIA_URL	Valid URLs	varchar(500)	https://foo-bar.com	MEDIA_URL	TRUE	FALSE	MEDIA	MEDIA	FALSE	FALSE
